Title,language_type,primary_genre,overview,vote_average,vote_count,popularity,is_popular
Mumbai Mirror,Bollywood,Action,"Being a police officer in this big-bad city called Mumbai can be quite some task. Mumbai, contrary to the other parts of the country, works on its own unique little philosophy...",7.0,1.0,0.6,1
Race 2,Bollywood,Thriller,"Ranveer Singh (Saif Ali Khan) travels to exotic locales and confronts the Turkish mafia on a mission to avenge the death of his lover Sonia in this action-packed sequel. In the process of seeking her killers, Ranveer crosses Armaan Mallick (John Abraham) and Aleena (Deepika Padukone) -- two of the most feared figures in the Turkish underworld. Meanwhile, Ranveer's loyal friend RD (Anil Kapoor) and his new partner Cherry (Amisha Patel) offer a helping hand in a world where love is cheap and trust is a luxury most agents can't afford.",5.5,87.0,8.253,0
Akaash Vani,Bollywood,Romance,"Akaash Vani is a romance film directed by Luv Ranjan, and produced by Kumar Mangat Pathak and Abhishek Pathak under the banner Wide Frame Pictures. After the cult hit Pyaar Ka Punchnama, AkaashVani is the second film from this producer-director duo.",5.8,9.0,2.056,0
Main Krishna Hoon,Bollywood,Animation,"In answer to an orphan boy's prayers, the divine Lord Krishna comes to Earth, befriends the boy, and helps him find a loving family.",7.0,1.0,1.317,1
Deewana Main Deewana,Bollywood,Comedy,"Govinda plays role of a person who is an easy going person and Priyanka enters his life. He wants to win her over and for this he keeps making one after another mistake. In order to impress her, he tells many lies and she starts hating him.  This film is remake of successful Tamil film ""Priyamudan"" directed by Vincent Selva.",5.0,4.0,2.293,0
David,Bollywood,Action,"The story is about two Davids living in different parts of India whose lives eventually come together in a twist of events., who are about to take a step which is going to change their lives forever.",5.8,18.0,3.865,0
Special 26,Bollywood,Crime,"In the early 1980s in India, a group of con artists rob well-known businessmen and politicians by posing as officers of the Central Bureau of Intelligence or income tax officials. The gang stages fake raids during which they steal great amounts of money from their targets.",7.3,166.0,8.389,1
Jayantabhai Ki Luv Story,Bollywood,Action,"A street thug with a soft heart and a young, hot-headed former company executive end up as neighbours.",4.5,8.0,2.011,0
Murder 3,Bollywood,Thriller,"A hot-shot fashion and wildlife photographer Vikram gets into a relationship with Nisha. She moves in with him in his palatial house outside of the city. The old world house, made decades ago is as beautiful as it is scary. It holds many secrets which Nisha is soon to unearth; of the life of the man who made it and of Vikram, who is dealing with the mysterious disappearance of his former girlfriend Roshni",3.7,23.0,3.377,0
Kai Po Che!,Bollywood,Drama,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.,6.9,110.0,6.363,0
Zila Ghaziabad,Bollywood,Action,"In the city of Ghaziabad, gang war breaks between two rival groups led by Satbir Singh and Fauji. Thakur Pritam Singh, a corrupt police officer, is transferred to the city to handle the situation.",4.2,13.0,2.313,0
Bloody Isshq,Bollywood,Romance,The story revolves around the three characters and showcases the love trap which Nirvaan throws for Natasha hiding the fact that he is married to Radhika. The love mystery unravels as destiny has something else planned for Nirvaan.,4.0,1.0,0.6,0
Saare Jahaan Se Mehnga,Bollywood,Comedy,"A satire on inflation-hit middle-class Indian family from a small city in North India. The story revolves around our protagonist who is struggling to survive in this spiraling inflation and how he comes up with a solution to battle it, only to find himself in an even bigger mess due to their innocence and naivety.",7.0,6.0,1.924,1
Mere Dad Ki Maruti,Bollywood,Comedy,"Twenty-something Sameer is a brat who thinks he can get away with anything. When he lands a lucky date with 'Chandigarh Ki Shakira', Jasleen, he decides to sneak out his Dad's brand new Maruti without a second thought. After a mad night at a pub, a fun drive around the famous Gehri route and one peck on the cheek, Sameer ends up losing the car. The car was meant to be a gift for his sister on her wedding and is probably the only thing his stingy dad, Tej Khullar ever spent money on. With only three days to find it, he must ensure his dad doesn't get a whiff of what he has done. Else, he will be turned into butter chicken. Sameer's life will be turned upside down as he comes face-to-face with some insane characters like a Bhai from chor bazaar, an old man with a rifle pointed at his nose and of course, the Chandigarh cops.",6.3,19.0,1.597,0
Rangrezz,Bollywood,Action,"A man, with the help of his two best friends, helps his third friend to elope with his lover. However, when the couple parts ways, they decide to teach them a lesson.",5.5,5.0,1.635,0
Chashme Baddoor,Bollywood,Comedy,"Seema rejects six marriage proposals set by her father and leaves for Goa. After Jai and Omi fail to impress her, they come up with a cruel plan when they realise that their friend Sid is dating her.",4.5,22.0,2.039,0
Ek Thi Daayan,Bollywood,Horror,A popular magician seeks help from a psychiatrist to protect him from a witch that has haunted him since childhood.,5.2,23.0,3.017,0
Aashiqui 2,Bollywood,Drama,"A young woman meets a failing musician who launches her singing career, but their relationship is doomed when people assume he's with her for her fame and fortune.",6.9,127.0,9.791,0
Shootout at Wadala,Bollywood,Action,"The first-ever registered encounter by the Mumbai Police, which took place on November 1, 1982.",5.9,26.0,0.6,0
Bombay Talkies,Bollywood,Drama,One hundred years of Hindi cinema is celebrated in four short stories showcasing the power of film.,6.3,50.0,6.28,0
Go Goa Gone,Bollywood,Comedy,A rave party off the coast of Goa goes horrifyingly and hilariously wrong when the island is overrun with zombies.,5.7,89.0,5.962,0
Gippi,Bollywood,Romance,"Gippi is a coming-of-age story of an ordinary, overweight girl, who, through the course of the film, learns to love herself for exactly who she is. It is also a tale of an underdog, who picks herself up from nothing and finds herself at the top of her own little world.",6.0,2.0,0.987,0
Aurangzeb,Bollywood,Thriller,"In order to expose Yashvardhan who is dishonest, Ravikant captures his son Ajay and plants his twin brother, Vishal, in his place, as an informer.",6.3,18.0,0.6,0
Ishkq in Paris,Bollywood,Comedy,Akash nd Ishkq meet on a train from Rome to Paris and spend a romantic evening in the city.,5.6,7.0,1.176,0
Yeh Jawaani Hai Deewani,Bollywood,Romance,Bunny and Naina meet when they graduate from college and again in their late 20s.,7.263,217.0,10.938,1
Yamla Pagla Deewana 2,Bollywood,Action,"The trio of Dharam, Paramveer and Gajodhar reunite, this time in the UK. Paramveer opens up the 'Yamla Pagla Deewana' club and re-encounters a visit with Dharam and Gajodhar, after their last visit to Canada. Now, the trio are back with double the fun, double the action, and double the romance, with Suman and Paramveer's love Reet.",3.7,12.0,1.938,0
Ankur Arora Murder Case,Bollywood,Drama,"Romesh (Arjun Mathur) was a young medical intern who dared to dream. He was in awe of Dr. Asthana (Kay Kay Menon), the Chief of Surgery of the Shekhawat General Hospital. All he wanted to was be like him. He lived in with Riya, his co-intern and the love of his life.  However, when an eight year old boy, Ankur dies due to Dr. Asthana's medical negligence, Romesh realises that a good surgeon is not necessarily a good person.  Together with Ankur's mother Nandita, Dr Romesh sets out on a turbulent journey to fight for what is right. A fight for justice against his mentor, the hospital and the love of his life",5.3,10.0,1.679,0
Raanjhanaa,Bollywood,Drama,A small-town boy needs to break through the class divide to gain acceptance from his childhood sweetheart who is in love with big city ideals.,6.5,116.0,9.993,0
Enemmy,Bollywood,Action,"Enemmy follows daredevil CID officers against an underworld don.  Four under cover cops Eklavya (Sunil Shetty), Naeem (Kay Kay Menon), Madhav (Mahaakshay Chakraborty) and Eric (Johny Lever) get the assignment to stop a gang war over a missing sum of money. They manage to put under world don Mukhtar Memon (Zakir Hussain) behind the bars but that doesn't solve the problem. Later, a senior CBI officer Yugandhar (Mithun Chakraborty) starts investigating the case",8.0,3.0,0.84,1
Shortcut Romeo,Bollywood,Action,"Shortcut Romeo is an Indian romantic thriller film to be directed and produced by Susi Ganeshan, under the banner Susi Ganesh Productions. It is the Hindi remake of the director's own Tamil film Thiruttu Payale (2006), starring Neil Nitin Mukesh in the title role with Puja Gupta as his love interest and Ameesha Patel in a negative character.",4.2,3.0,0.707,0
Ghanchakkar,Bollywood,Comedy,A safe cracker claims he has lost his memory when two criminals come calling for their cut of the bank heist loot.,5.3,26.0,3.334,0
Policegiri,Bollywood,Action,"A cop named DCP Rudra is transferred to a new police station. As the city is riddled with crime and corruption, he decides to bring law and order back for which he has to go against Nagori Subramaniyam, the local mafia. He does not believe in the system of going by the book and instead fights fire with fire.",5.0,10.0,2.693,0
Bhaag Milkha Bhaag,Bollywood,History,"The true story of the ""Flying Sikh"" world champion runner and Olympian Milkha Singh who overcame the massacre of his family, civil war during the India-Pakistan partition, and homelessness to become one of India's most iconic athletes.",7.4,214.0,9.745,1
Sixteen,Bollywood,Drama,Welcome to sixteen's world. A world where growing up has speeded up multifold times from the time you and me were kids.,5.9,5.0,1.07,0
B.A. Pass,Bollywood,Drama,"After losing his parents in a car accident, Mukesh stays at his Aunt's house in Delhi. Enrolled in a good for nothing course in college he finds peace by playing chess at the local cemetery, the rest of the times he worries over ways to make a living and taking care of his sisters. 'B.A.Pass' is a story looking at the fatal promise of a new life. When Mukesh meets Sarika 'auntie' at a kitty party, little does he know of the city and it's ways and means to survive. Sarika seduces Mukesh, shy and inexperienced he falls for her. What follows is a twist of destiny, a kind of story that appears in the tabloids as 'heinous acts of crime'",5.7,31.0,8.486,0
Ramaiya Vastavaiya,Bollywood,Romance,A wealthy NRI falls hard for a country girl during a visit to his homeland.,6.3,27.0,3.298,0
Ship of Theseus,Bollywood,Drama,Three stories about persons forced to think about the ethics and moral issues raised by medical advances.,7.0,50.0,5.137,1
Issaq,Bollywood,Romance,"A contemporary adaptation of Romeo and Juliet set in the backdrop of Varanasi in the UP heartland, complete with naxalism, sand mining mafia and of course the timeless love story.",4.0,4.0,1.879,0
Bajatey Raho,Bollywood,Comedy,"Surviving family members and friends of a man who was conned by the cunning businessman Sabbarwahl, string together a series of their own cons in an attempt to bring him down.",5.8,5.0,1.327,0
Nasha,Bollywood,Drama,"A teenage boy becomes smitten with his new drama teacher and pursues her, despite the perilous risks of being found out.",4.7,7.0,2.463,0
Chor Chor Super Chor,Bollywood,Thriller,"In the crowded by lanes of old Delhi, Shuklaji runs a small photo studio as a front for small time crime. Over the years he has groomed a bunch of youngsters in the art of pick pocketing and petty crime. Then one day a girl comes into their midst and then everything collapses.",8.0,1.0,0.6,1
Calapor,Bollywood,Drama,"The film is a taut thriller, set in the backdrop of a jail. It is a modern story of reformation. The film provokes thoughts about the nature of human being while infusing hope that it is good in every human being. When a reluctant Jyotsna, an artist with her assistant Ragini arrive in Calapor Central Jail to conduct an art program for prison inmates, initiated by a very sincere and committed reformist Jail Superintendent, Karunakar, the agonizing part of a criminal husband who cheated her and a delinquent son who ran away, returns to torment her. With adversity comes an opportunity; a second chance that Jyotsna as a mother cannot afford to lose or fail to succeed.",0.0,0.0,0.6,0
Chennai Express,Bollywood,Romance,"Rahul embarks on a journey to a small town in Tamil Nadu to fulfill the last wish of his grandfather: to have his ashes immersed in the Holy water of Rameshwaram. En route, he meets a woman hailing from a unique family down South. As they find love through this journey in the exuberant lands of South India, an unanticipated drive awaits them.",6.5,282.0,9.56,0
Madras Cafe,Bollywood,Thriller,An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.,6.5,97.0,9.479,0
Satyagraha,Bollywood,Drama,"Satyagraha is the story of a son who yearns for a father. Of a father, who grieves for his lost son. Of a young woman who fights so hard with life that she has forgotten to love. Of an ambitious rabble-rouser, for whom action is the knee-jerk mantra. It is the story of how these four discover one another, and come together to raise hell, shaking the powers that be to their very roots! But, Satyagraha is also the story of an influential power-hungry despot who will stop at nothing to destroy them.",6.2,30.0,2.788,0
Zanjeer,Bollywood,Action,A remake of the 1973 action film of the same name.,4.5,26.0,3.766,0
Shuddh Desi Romance,Bollywood,Drama,A journey of three restless young people who junk the society's syllabus for finding love and decide to follow their heart.,5.8,57.0,3.78,0
Siddharth,Bollywood,Drama,"A chain-wallah from Delhi travels across India in search of his missing son, in the hopes that whoever took him, returns him unharmed.",7.1,9.0,0.84,1
John Day,Bollywood,Drama,"A mysterious death of a young girl unfolds a web of secrets and a conspiracy. The father of the girl, John day, is a simple , honest and god fearing man. Gautam , a nihilistic cop, the key player behind the tragic incident gets embroiled and sucked into the deep abyss that turns lethal. The thin line that separates the saint and the beast now stands blurred... broken... forever",5.1,7.0,0.6,0
Horror Story,Bollywood,Horror,"A group of 7 youngsters-4 guys and 3 girls decide to spend a night at a reportedly haunted hotel to celebrate the farewell of one of them leaving for the USA. Despite people's warnings and other ""signs"" trying to ward them off from there, they enter the hotel, and then the truth dawns on them.  Seven friends - Sam alias Samrat, Magesh, Achint, Neel, Neena, Sonia and Magi reunite after several years apart to celebrate the farewell of one of their friends, who is going abroad in order to pursue his career and fulfill his goals. The group soon learns about an abandoned hotel with strange stories around it. Much against warnings, they decide to spend a night at the hotel, and soon realize the mistake of their lives",4.5,57.0,3.087,0
Phata Poster Nikhla Hero,Bollywood,Action,"Vishwas, an aspiring actor, is mistaken for an inspector while dressed for a photo shoot.",5.2,56.0,3.058,0
The Lunchbox,Bollywood,Drama,"A mistaken delivery in Mumbai's famously efficient lunchbox delivery system (Mumbai's Dabbawallahs) connects a young housewife to a stranger in the dusk of his life. They build a fantasy world together through notes in the lunchbox. Gradually, this fantasy threatens to overwhelm their reality.",7.328,612.0,10.327,1
Maazii,Bollywood,Crime,"Tarun and his wife Shrishti are living a happy life with there daughter . One day to save the Honor of a woman, Tarun accidentally kills two gangsters. After this his black past unfolds and starts haunting his present life. Tarun has to go back to his roots and get out of his past to make his family secure and happy.",0.0,0.0,1.982,0
Super Model,Bollywood,Drama,"A wine baron (Harsh Chhaya) wants to use a supermodel to launch his new liquor label in the market. He recruits a photographer (Ashmit Patel) to organize a talent hunt in Fiji for the same. Amidst this backdrop, an upcoming model (Veena Malik) faces competition from other beauties for the endorsement deal until the contestants mysteriously start getting murdered one by one and the needle of blame seems to point towards her.",1.0,1.0,1.751,0
Besharam,Bollywood,Comedy,"Babli is a street smart car mechanic living in a Delhi orphanage. He is charming and lives life to the fullest. He also steals cars to support his orphanage. He has no sense of right or wrong till he unwittingly hurts the love of his life, Tara. Babli realizes that there is no right way of doing the wrong thing. Babli sets out to fix all the wrongs in his life and he continues to be shameless about it.",4.7,32.0,4.468,0
Paapi - Ek Satya Katha,Bollywood,Crime,"The film is a story of a small town girl, Pia, who falls in an Internet trap. She falls in love with a friend, Rahul, whom she has never seen but met on Internet. The feeling between them grows and Rahul informs Piya that he'd be coming to Haridwar to meet her. Elated and blind in love, Pia gives her life and love to the boy. They get married and she dreams of a future with him only to be hard hit by reality that the man she gave her life to is not the Rahul she met on Internet. She is being duped and denied justice. Will Pia come out of this tragedy and stand up for herself, forms the rest of the story of the film.",0.0,0.0,0.704,0
Boss,Bollywood,Action,"Disowned by his father as a boy, Surya is taken in by a crime boss. When his brother Shiv is wrongly imprisoned, his father pleads for Surya's help.",5.6,58.0,4.642,0
Shahid,Bollywood,Drama,"A story based on real-life human-rights and criminal lawyer, Shahid Azmi, who was slain while defending the wrongly accused by the law in terrorist activities.",7.4,53.0,3.971,1
Dilli Gang,Bollywood,Thriller,"Vishambar Prasad (Darshan Jariwala) and his wife Sujata (Neena Kulkarni) have just married off their younger daughter amidst much pomp and gaiety. Soon after the wedding their only son Ashish (Amir Dalvi) flies back to Germany from where he had come only to attend his sister's wedding. The old couple is left alone in their big mansion in Delhi. A few days down the line it is revealed that Sujata is afflicted with multiple myeloma, a rare type of cancer. Somewhere in this city, there are four goons whose livelihood is to murder and loot hapless senior citizens in the city. They do this by pretending to be AC mechanics who offer free checks of ACs even when your AC could be working perfectly fine. Dilliwaalas open their doors to anybody who offers a free service. Then there are domestic servants and drivers who are hand-in-glove with the four criminals. This is not to say that such things do not happen.",5.0,1.0,0.6,0
Mickey Virus,Bollywood,Comedy,When Delhi Police comes across an unusual case revolving around hacking they seek help of an expert who thinks like them only to come across a lazy hacker Mickey Arora.,5.4,17.0,1.705,0
Ishk Actually,Bollywood,Romance,"Gia is at a crossroads in her life, with the arrows pointing towards Neil in one direction and Kabir in the opposite direction. She grapples with making a decision as she's torn between the two worlds that she's been living in. Love is the unanswered emotion that leads to a series of life altering situations . Amazed at life's sense of timing, she treads along a path that she believes will lead to her true love.",0.0,0.0,0.844,0
Krrish 3,Bollywood,Action,Krrish and his father Rohit must team up to save the world from a psychokinetic evil man named Kaal and his army of mutants.,5.7,147.0,9.088,0
Satya 2,Bollywood,Crime,A man researches the mistakes made by mafia dons to reinvent the underworld.,5.9,6.0,1.371,0
Rajjo,Bollywood,Romance,The journey of a nautch girl in the most extraordinary circumstances. Rajjo and Chandu fall in love against the backdrop of the dying Kothas of Mumbai.,3.0,1.0,3.26,0
Goliyon Ki Raasleela Ram-Leela,Bollywood,Drama,Ran and Leela are passionately in love with each other. The only problem is that their respective clans have been enemies for 500 years.,7.0,161.0,11.256,1
Gori Tere Pyaar Mein,Bollywood,Comedy,"Sriram Venkat is the most shallow guy on earth who doesn't value relationships, family, friends, life or the country. Not necessarily in that order. Because he couldn't care less about the order. This makes him the clear 'black' sheep of the family.",6.0,43.0,4.287,0
Bullett Raja,Bollywood,Action,"A common man who transforms into a gangster revolts against the very system he once obediently followed by declaring war on the police, the government, and the industrialists.",5.8,28.0,3.208,0
R... Rajkumar,Bollywood,Action,"Rajkumar, an aimless youth, works for a drug baron and is sent to kill a rival dealer. His life is changed forever when he meets Chanda, and has no idea she is the adopted daughter of the man he is supposed to kill.",6.3,82.0,6.653,0
Jackpot,Bollywood,Comedy,"JACKPOT THE SET UP -  Jackpot is a fast-paced thriller con, with sharp comic one-liners and crazy characters, set entirely in Goa against the backdrop of casino boats.  The film goes back and forth in time, capturing one Goan monsoon of Full Jhol. Its a card game between the players in the con. Who will come out Aces and who will end up being the Joker?  An amateur gang of young Goans plan the perfect con - no nuksaan, no pareshan. However, all good plans often  It doesn't take long for them to discover that a reverse con has been played back on them - by the very people they were trying to con.  In doing so, the five members of the gang split and start suspecting each other. After all, when there is cash in a briefcase, and a beautiful woman with a gun, things tend to go horribly wrong.",3.5,3.0,1.294,0
What the Fish,Bollywood,Adventure,"Sudha Mishra is 67 years old, divorced woman that leaves the responsibility of taking care of her house by Sumit, her niece’s fiancé. The most important instruction given to Sumit was to ‘Feed The Fish & Water The Plants’. His very acceptance into the family was dependent on this instruction. When she returns a month later to her Vasant Kunj house, everything seems to be in order till she opens the bedroom door and a woman wearing white, wailing loudly.",5.5,7.0,0.6,0
Dhoom 3,Bollywood,Action,"To avenge his father's death, a circus entertainer trained in magic and acrobatics turns thief to take down a corrupt bank in Chicago. Two cops from Mumbai are assigned to the case.",6.0,240.0,14.521,0
Players,Bollywood,Action,"Learning of a fortune in gold being secretly shipped to Romania, master thieves Charlie and Riya assemble a crack team to steal it.",5.2,44.0,4.771,0
Chaalis Chauraasi,Bollywood,Crime,"Four friends -- Pankaj (Naseeruddin Shah), Bobby (Atul Kulkarni), Shakti Chinappa (Ravi Kissen), Albert Pinto (Kay Kay Menon) -- want to rob a lonely house in a lonely stretch of it's Rs 20 crore fake Indian currency... and the very fake note vending machine that lies in there. Just one problem: They have no plan...",6.0,2.0,0.75,0
Agneepath,Bollywood,Action,"A young boy's father gets killed unexpectedly by a fierce crowd. After fifteen years, the boy comes back to seek his vengeance.",6.4,126.0,7.641,0
Gali Gali Chor Hai,Bollywood,Drama,"Bharat is the Indian common man and a part-time actor, and portrays the role of Hanuman, the monkey God, at the local Ramleela skit.  His family consists of his wife, Nisha, ambitious for her husband, and would like him to be promoted from cashier to manager at the bank.  Bharat, however, wants to be Ram, the protagonist in Ramleela.  And then one day, Bharat’s table-fan gets stolen. Bharat then gets sucked into a system that worships corruption and dishonesty, and is forced to bribe his way through criminals and law keepers alike, just to get this table-fan back. What the system does not seem to realise, however, is that even somebody as common as Bharat can snap, and when he does, he can make life hell for a lot of people",2.8,6.0,1.986,0
Staying Alive,Bollywood,Drama,"Staying Alive is a movie which is based on a true story of a reporter Aditya (Anant Mahadevan). When he experiences heart attack for the third time, he is sent to the intensive cardiac care at a hospital. But fate brings him on the neighboring bed of an underworld kingpin, Shaukat Ali (Saurabh Shukla). Actually it was his love of kebabs which had led him to experience his first heart attack. The 2 inmates of a hospital, who have opposite nature and opposite profession, strike a love-hate relationship with Aditya relaying a few truths about life to Shaukat. Shaukat gets thankful for the pleasure of staying alive even in a life underprivileged of kebabs.  The end of the motion picture deals with life as it reveals for a man from the wrong side of the law trying to set things right...would he or would he not succeed? This comedy of black type is all about being thankful at the pleasure of just Staying Alive…",0.0,0.0,0.667,0
Ek Main Aur Ekk Tu,Bollywood,Drama,"Rahul and Riana meet each other for the first time, get drunk, and awake the next morning to find that they have gotten legally married to each other.",5.6,57.0,3.957,0
Ekk Deewana Tha,Bollywood,Romance,"Sachin is an engineering graduate from a middle class Mumbai family, but his passion is for the world of cinema. He is dreaming and planning for a future as a director, when he sees Jessie. It is love at first sight for Sachin. However, Jessie is from a strict Malayali Christian family, and her parents would never approve of their romance. The other problem is Jessie insists that she doesn't want a romantic relationship, but wants only to be friends. Of all the girls in the world why did Sachin have to fall for Jessie?",5.0,15.0,3.709,0
Jodi Breakers,Bollywood,Comedy,Jodi Breakers is a Hindi film directed by Ashwini Chaudhary featurring R Madhavan and Bipasha Basu in the leading roles with Omi Vaidya and Dipannita Sharma in supporting roles.,6.6,4.0,1.241,0
Tere Naal Love Ho Gaya,Bollywood,Drama,"In a quaint village of Haryana lives Miny, a free-spirited tomboy who instantly wins your heart with her bubbly personality. Her father, Bhatti, runs an auto-rickshaw business and is adamant to marry her off against her liking to Sunny. The male protagonist Viren, is a humble and ambitious rickshaw driver working for Miny's father. Bhatti, insecure about Viren's success, sells of all the rickshaws where Viren had carefully stashed his life savings. In an attempt to recover his money from Bhatti, Viren storms into Miny's engagement with fury. This gives Miny the perfect opportunity to escape her marriage and so she stages a kidnap. However, the kidnap goes all wrong and she and Viren land up in Viren's family mansion. Eventually, Miny's father arrives with the ransom that she had asked for and takes her back home. Back in Punjab, while she is being married off to Sunny...",6.2,24.0,3.728,0
"London, Paris, New York",Bollywood,Romance,"London Paris New York is a film that captures the angst of the twenties, the most dramatic period of one's life - when you have to find a career, you have your first significant relationship and most importantly form your identity in this world. This is story about Lalitha, a middle class south Indian girl from Chembur (an eastern suburb in Mumbai) who is on her way to New York to study politics with full scholarship, and Nikhil, a Punjabi, rich kid from Bandra (a posh western suburb of Mumbai) who is going to study Film Making in London on 100% dad's money. They decide to hangout together one evening in London and find that they are completely drawn to each other even as their future lies on separate continents.  The film follows their personal journey and their love story as they meet in London, Paris and New York for a night each over eight years. The film is in three chapters and each chapter is shot in a manner that mirrors the mental state of Nikhil and Lalitha.",6.0,5.0,1.928,0
Paan Singh Tomar,Bollywood,Crime,Paan Singh Tomar goes from celebrated runner to star brigand and rebel when life after sports fails to unfold as planned.,7.3,105.0,6.47,1
Will You Marry Me?,Bollywood,Drama,The film centres around three friends who love their bachelorhood so much that they place a bet among themselves that whoever decides to marry first will lose a huge amount in shares that were contributed by all three. All is well until one decides to take the plunge and make a commitment.,7.0,2.0,0.903,1
Kahaani,Bollywood,Mystery,"Pregnant and alone in the city of Kolkata, a woman begins a relentless search for her missing husband, only to find that nothing is what it seems.",7.1,263.0,8.326,1
Chaar Din Ki Chandni,Bollywood,Comedy,"Chandini comes to India to attend Veer's sisters wedding. In those four days, she wins everyone's heart.",5.5,3.0,0.755,0
Say Yes to Love,Bollywood,Romance,"In his youth, Vijay is pressured into going to a brothel with schoolmates. An older woman humiliates him, setting up fear of women and years of nightmares. His widowed father hopes to ease his pain by hiring another woman to break down his walls.",0.0,0.0,0.843,0
Agent Vinod,Bollywood,Action,"In Pakistan's Khyber Pakhtunkhua, RAW Agent Vinod (Saif Ali Khan) is rescued by colleague Rajan (Ravi Kishan) from a rogue Pakistani army officer (Shahbaz Khan). In Russia/Uzbekistan, an ex-KGB Officer is tortured and murdered. In Cape Town, a group of international business tycoons discusses a rumor that the dead KGB officer possessed a nuclear suitcase bomb. In Moscow, Rajan is exposed and shot dead while trying to send a Code Red message to India. In India, the head of RAW sees the incomplete message containing just number 242. Agent Vinod undertakes a globe-trotting secret mission to discover the reason why his colleague, Rajan, was murdered. A series of twists and turns take Vinod across the globe to Morocco and Latvia, Karachi to Delhi and finally London where he discovers the actual conspiracy.",5.5,55.0,4.496,0
Bumboo,Bollywood,Comedy,"Bumboo movie is based on one simple idea. Every person meets someone, who screws it up and makes life miserable (In the 'Bambaiyya' lingo it is called as 'Vaat Lagna'). In Bumboo the movie each character screws someone or the others happiness. Each situation is humorous and ends up into comedy of errors. Bumboo is based upon ""L'emmerduer"" which is by Francis Veber",0.0,0.0,1.093,0
Housefull 2,Bollywood,Action,A comedy of errors wherein four men help each other to fool their prospective father-in-laws creating a cascade of confusion and mayhem.,5.4,88.0,6.702,0
Vicky Donor,Bollywood,Comedy,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",6.8,145.0,6.679,0
Hate Story,Bollywood,Drama,Journalist Kavya Krishna loves tycoon Siddharth - who uses and abuses her. How far will Kavya go to get revenge?,5.4,34.0,3.924,0
Tezz,Bollywood,Drama,"To revenge his past, Aakash Rana plants bomb in a train endangering lives of 500 passengers.",4.2,22.0,2.245,0
Jannat 2,Bollywood,Action,A dealer of illegal guns is bullied into being an informer for a cop who wants to put an end to this racket.,6.4,20.0,3.606,0
Fatso!,Bollywood,Comedy,"Killed too soon due to a clerical error in heaven, a man is sent back to earth with a new lease on life, this time in the body of his portly friend.",5.2,5.0,1.4,0
Ishaqzaade,Bollywood,Drama,"While fighting for the political supremacy of their respective families, a Hindu man and a Muslim woman share a forbidden romance.",6.4,62.0,5.685,0
Department,Bollywood,Action,A police inspector recruits a suspended cop for a specialized task force to battle organized crime.,6.3,9.0,1.233,0
Arjun: The Warrior Prince,Bollywood,Action,"Legend knows him as an archer of unwavering focus, the soldier who fought a battle in his own heart before taking up arms against his enemy. This is the untold story of Arjun, hero of the Mahabharata. A precocious talent plunged from boyhood and innocence into a murky world of deceit and betrayal, coming of age to become the most powerful warrior of his time. From the dusty plains of Hastinapur to the icy peaks of the Himalayas, Arjun: The Warrior Prince is the story of a man discovering what it takes to be a hero.",6.4,32.0,3.504,0
Rakhtbeej,Bollywood,Thriller,"Rakhtbeej is the story of two men, from two different generations. Even though their worlds are different their lives keep intersecting. Abhay Jatav from humble beginnings ends up becoming the most dreaded dacoit in UP. Ajay also from humble beginnings, becomes the CEO of Dabral Group of Industries, at a very young age. Abhay knows Sarita for a long time, and Sarita is in love with Abhay. But when a simple village girl Poonam enters Ahbay's life he totally forgets about Sarita.",5.0,1.0,0.678,0
Rowdy Rathore,Bollywood,Action,"A small-time thug comes across a young girl who claims him to be her father, following which he realizes he has a lookalike who's being hunted by goons.",6.0,75.0,5.311,0
Shanghai,Bollywood,Drama,Prime leader of a campaign against a big government project is killed in what appears to be a road accident. An IAS officer is ordered to probe the incident and the veils of falsehood begin to drop.,6.7,42.0,4.236,0
Ferrari Ki Sawaari,Bollywood,Family,"A little boy thinks of nothing but cricket. His father, Rusy, thinks of nothing but his little boy. To fulfill his sons dream of playing at Lords cricket ground, the honest and upright Rusy takes a reckless step. He borrows a gleaming red Ferrari. Just for one hour. The only trouble-- he doesnt inform the cars legendary owner. A wild, breathless, bumpy ride begins. A naive Rusy must dodge bullets and bouncers for one unforgettable night, and play the role of a perfect father. Can he do it?  Ferrari Ki Sawaari is a fun-filled story of small guys and their big dreams and how these dreams turn into a mad comedy of errors.  Fasten your seatbelts. The joyride awaits",6.0,23.0,3.833,0
Teri Meri Kahaani,Bollywood,Comedy,"A couple lives though three different lives over different eras as destiny conspires to make them fall in love with each other, against all odds.",5.9,30.0,3.913,0
